,text,created_at,news_org,sentiment,positive,negative,neutral,compound,tweets_ago
95,RT @BBCNews: ⚽ #ENGBEL https://t.co/vDqRXYrpYT,Thu Jun 28 14:01:51 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,96
96,Irish PM will not prepare for hard border ahead of Brexit https://t.co/2zQipHAHFr,Thu Jun 28 13:55:13 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.0762}",0.105,0.0,0.895,0.0762,97
97,"""I want to see myself among the great artists in museums""

The 10-year-old inspired by Michelangelo and Arinze Stan… https://t.co/MeI3Ch7XSE",Thu Jun 28 13:49:04 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8225}",0.336,0.0,0.664,0.8225,98
98,China caps film stars' pay over 'money worship and tax evasion' https://t.co/rTMRIx7Xta,Thu Jun 28 13:34:46 +0000 2018,@BBCWorld,"{'neg': 0.103, 'neu': 0.735, 'pos': 0.162, 'compound': 0.2023}",0.162,0.103,0.735,0.2023,99
99,Shujhaat Bukhari: Pakistan militants blamed for journalist death https://t.co/3VJhJVqbC0,Thu Jun 28 13:24:45 +0000 2018,@BBCWorld,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.7906}",0.0,0.5,0.5,-0.7906,100
0,12-year-old gets more business cutting lawns after neighbor calls police on him https://t.co/QVLb9nlvpk https://t.co/3peag1nxvi,Sun Jul 01 03:03:08 +0000 2018,@CBSNews,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.197}",0.0,0.12,0.88,-0.197,1
1,Alexandria Ocasio-Cortez name-dropped her lipstick brand and it sold out https://t.co/60DcGVVE9c https://t.co/9fjCA8IZwK,Sun Jul 01 02:48:07 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,2
2,"Woman dubbed ""Pool Patrol Paula"" charged with assaulting black teen at swimming pool https://t.co/cw9KyXs8NI https://t.co/5BJ70L3kAE",Sun Jul 01 02:33:03 +0000 2018,@CBSNews,"{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.6249}",0.0,0.282,0.718,-0.6249,3
3,Canada announces details of tariffs on U.S. goods https://t.co/R5aAaXaSa3 https://t.co/a4tXwjxVvQ,Sun Jul 01 02:18:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,4
4,Spring Fire in Colorado prompts thousands of evacuations https://t.co/Rm82ObjYY9 https://t.co/0wJq31xITP,Sun Jul 01 02:03:03 +0000 2018,@CBSNews,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",0.0,0.211,0.789,-0.34,5
5,"Photo of Geoffrey the Giraffe leaving an empty Toys ""R"" Us store goes viral https://t.co/a61ly31wpv https://t.co/bgH1Nh3ntU",Sun Jul 01 01:48:07 +0000 2018,@CBSNews,"{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.2023}",0.0,0.107,0.893,-0.2023,6
6,Alabama Attorney General Steve Marshall recalls final call with wife before her suicide https://t.co/zKRhZlye41 https://t.co/4CkmAg9ZwR,Sun Jul 01 01:33:03 +0000 2018,@CBSNews,"{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.6705}",0.0,0.243,0.757,-0.6705,7
7,Jazz Jennings says she’s doing great after gender confirmation surgery https://t.co/B8hQG0AnvQ https://t.co/LrlHJqk04S,Sun Jul 01 01:18:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",0.272,0.0,0.728,0.6249,8
8,Video captures officers using stun gun on sitting man https://t.co/VrRDdzNTPz https://t.co/KvSWmNTn7m,Sun Jul 01 01:03:06 +0000 2018,@CBSNews,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0,0.194,0.806,-0.34,9
9,"Alexandria Ocasio-Cortez explains democratic socialism on the ""Late Show"" https://t.co/qYZefMpxJy https://t.co/vKsyraaQt3",Sun Jul 01 00:48:07 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,10
10,Ex-ICE chief counsel sentenced for stealing undocumented immigrants' identities https://t.co/tTXRkdPTxL https://t.co/3DjWL3cNun,Sun Jul 01 00:33:03 +0000 2018,@CBSNews,"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.5859}",0.0,0.348,0.652,-0.5859,11
11,"Anonymous person buys $1M worth of remaining toys at Toys ""R"" Us to donate https://t.co/vIBQW2iUWN https://t.co/KN1qUTWHNl",Sun Jul 01 00:18:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}",0.112,0.0,0.888,0.2263,12
12,New chance at love for woman who woke up from coma to find she has second husband https://t.co/VzZ5FTQ7Tk https://t.co/9p6VEOVENq,Sun Jul 01 00:03:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7351}",0.267,0.0,0.733,0.7351,13
13,Susan Sarandon arrested at anti-Trump rally https://t.co/ouVzpoY9XI https://t.co/0vXtqv7LrF,Sat Jun 30 23:48:03 +0000 2018,@CBSNews,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",0.0,0.307,0.693,-0.4767,14
14,Heinrich Himmler's daughter worked for German spy agency in 1960s https://t.co/bIkNsvXDZ2 https://t.co/Qha7InhsSb,Sat Jun 30 23:33:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,15
15,"Comedian claims he prank called President Trump, posing as Sen. Bob Menendez https://t.co/yColMXZaLN https://t.co/G1CBq7DN0G",Sat Jun 30 23:18:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.3818}",0.167,0.0,0.833,0.3818,16
16,Remains found in Arizona ID'd as long-missing woman Jamie Laiaddee https://t.co/VOo8Iq12N2 https://t.co/pVvE92JTy1,Sat Jun 30 23:03:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,17
17,"The specter of possible fraud rears its head in Mexico each electoral campaign. Such fears have a basis, with a his… https://t.co/RHs34lybAO",Sat Jun 30 22:39:34 +0000 2018,@CBSNews,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.765}",0.0,0.268,0.732,-0.765,18
18,Is Chief Justice John Roberts is the Supreme Court's new man in the middle? https://t.co/5N3n0dPoIk https://t.co/oEPAldKzjn,Sat Jun 30 22:19:42 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7906}",0.333,0.0,0.667,0.7906,19
19,"Spain will beat Russia in Sunday's World Cup match -- that is if you believe Harry the ""oracle"" otter.… https://t.co/TkPy20SNIU",Sat Jun 30 22:00:26 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,20
20,"RT @48hours: Who was Will Carter Jr. and why was he shot to death? 

#48hours airs tonight at 10/9c. https://t.co/dOLUeS0RD5 https://t.co/7…",Sat Jun 30 21:45:23 +0000 2018,@CBSNews,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.5994}",0.0,0.163,0.837,-0.5994,21
21,Would you get behind the wheel if you were staring down an AK-47? This Texas company can help give you the confiden… https://t.co/k9ooMxbAT4,Sat Jun 30 21:20:06 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",0.109,0.0,0.891,0.4019,22
22,"John Whitbeck, the chairman of the Republican Party of Virginia, is resigning after more than three years in his po… https://t.co/z5TULQsc9w",Sat Jun 30 21:00:02 +0000 2018,@CBSNews,"{'neg': 0.081, 'neu': 0.805, 'pos': 0.114, 'compound': 0.2023}",0.114,0.081,0.805,0.2023,23
23,President Trump says he has received assurances from King Salman of Saudi Arabia that the kingdom will increase oil… https://t.co/4nRNlVp4HK,Sat Jun 30 20:40:01 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.5719}",0.207,0.0,0.793,0.5719,24
24,"His work with Pavement is considered some of the most influential music of the 90's. Now, Stephen Malkmus has a pec… https://t.co/mp4N94yTht",Sat Jun 30 20:19:34 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.4927}",0.138,0.0,0.862,0.4927,25
25,Arnold Schwarzenegger's response to being called a snowflake was too chill  https://t.co/bafRFtHLyO https://t.co/soR3PWu7np,Sat Jun 30 19:59:53 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,26
26,"President Trump said he hopes that Democrats who are calling to abolish ICE ""keep thinking about it"" because ""they'… https://t.co/fDMKfVLO1U",Sat Jun 30 19:39:42 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.128,0.0,0.872,0.4215,27
27,"From New York to L.A., hundreds of thousands took to the streets as part of the #FamiliesBelongTogetherMarch to pro… https://t.co/Ygdvz5ZHcD",Sat Jun 30 19:20:20 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,28
28,"When he lost his leg in combat, U.S. Army Specialist Anthony Farve didn't know if he'd ever be part of a team again… https://t.co/xb2jOTEHs8",Sat Jun 30 18:59:51 +0000 2018,@CBSNews,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.5719}",0.0,0.183,0.817,-0.5719,29
29,Their numbers dropped from almost 600 in 1997 to just 30 today. Marine biologists and conservationists are scrambli… https://t.co/vVpChuFzII,Sat Jun 30 18:39:51 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,30
30,"On Sunday, Massachusetts will become the first East Coast state to allow the sale of recreational marijuana… https://t.co/TExVyPsRrz",Sat Jun 30 18:19:47 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}",0.101,0.0,0.899,0.2263,31
31,"The U.S. Department of Education estimates at least 32,000 college students were homeless in 2017… https://t.co/cjcoyiAo5H",Sat Jun 30 18:00:01 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,32
32,"WATCH: Lin-Manuel Miranda performs at the ""Families Belong Together"" immigration march in Washington, D.C.… https://t.co/fVHzhBt0kB",Sat Jun 30 17:49:42 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,33
33,"An orphaned bear cub burned in a Colorado wildfire is being nursed back to health, and is expected to be reintroduc… https://t.co/N5JPkIWwAf",Sat Jun 30 17:19:31 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,34
34,"""Once my family was taken, I became fully aware that my community matters less to some people. That we are treated… https://t.co/A3pZe1cDQT",Sat Jun 30 17:09:13 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.0258}",0.052,0.0,0.948,0.0258,35
35,"""I am here today as a woman who as a young child was separated from her family. I am here today to be painfully hon… https://t.co/DHrobAEA8d",Sat Jun 30 17:07:23 +0000 2018,@CBSNews,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.5267}",0.0,0.134,0.866,-0.5267,36
36,Many anti-Trump activists are driving the hashtag #abolishICE on Twitter— now potential Democratic contenders in 20… https://t.co/e1o2Fv695g,Sat Jun 30 16:59:46 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,37
37,"""I live with the constant fear of losing my mom to deportation. My mom is strong, beautiful and brave. She is also… https://t.co/RUg3b7oEb4",Sat Jun 30 16:55:27 +0000 2018,@CBSNews,"{'neg': 0.169, 'neu': 0.523, 'pos': 0.308, 'compound': 0.7003}",0.308,0.169,0.523,0.7003,38
38,"Leah, a 12-year-old girl from Miami, addresses D.C. crowd: ""I don't understand why they are being so mean to us chi… https://t.co/YWdJs8jyRN",Sat Jun 30 16:53:45 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,39
39,"""Our government also continues to separate U.S. citizen children like me from their parents every day. This is evil… https://t.co/jNcHuQob2l",Sat Jun 30 16:51:53 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3612}",0.116,0.0,0.884,0.3612,40
40,"Syrian-American woman tells crowd in Washington, D.C.: ""For those of you who are lucky enough to not have been targ… https://t.co/2AsfGqFjfE",Sat Jun 30 16:40:52 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4215}",0.123,0.0,0.877,0.4215,41
41,"Toys ""R"" Us' Geoffrey the Giraffe might become the mascot of his species' preservation https://t.co/Em2Bw2wDJT… https://t.co/oD3tgXomna",Sat Jun 30 16:40:07 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,42
42,"Syrian-American woman describes the effect of Trump administration's travel ban on her family: ""For me this policy… https://t.co/5OwYWFWPLc",Sat Jun 30 16:38:21 +0000 2018,@CBSNews,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5574}",0.0,0.175,0.825,-0.5574,43
43,"""All of these children today separated from their parents have lost the opportunity to learn trust or ever feel saf… https://t.co/2NBprG5nDa",Sat Jun 30 16:24:50 +0000 2018,@CBSNews,"{'neg': 0.087, 'neu': 0.682, 'pos': 0.231, 'compound': 0.5859}",0.231,0.087,0.682,0.5859,44
44,"Actress America Ferrera reads a letter from a grandfather fighting to sponsor his granddaughter: ""I want you to ima… https://t.co/mdtrskzKHV",Sat Jun 30 16:08:17 +0000 2018,@CBSNews,"{'neg': 0.126, 'neu': 0.808, 'pos': 0.066, 'compound': -0.296}",0.066,0.126,0.808,-0.296,45
45,WATCH LIVE:  Protesters are gathering in hundreds of cities in all 50 states and Puerto Rico to protest the Trump a… https://t.co/Yo1UHlikSL,Sat Jun 30 16:03:13 +0000 2018,@CBSNews,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.4404}",0.0,0.163,0.837,-0.4404,46
46,WATCH: Maryland's capital lit up Friday night as hundreds clutched candles and marched silently to honor the five p… https://t.co/7mKNMjykMd,Sat Jun 30 16:00:24 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}",0.144,0.0,0.856,0.4939,47
47,Is Chief Justice John Roberts is the Supreme Court's new man in the middle? https://t.co/IjoV7BoTO4 https://t.co/2cN6sbzIjo,Sat Jun 30 15:40:07 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7906}",0.333,0.0,0.667,0.7906,48
48,WATCH LIVE: Protesters are hitting the streets across the U.S. for the #FamiliesBelongTogetherMarch to press Presid… https://t.co/R3HdpXhrI4,Sat Jun 30 15:20:34 +0000 2018,@CBSNews,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.2263}",0.0,0.106,0.894,-0.2263,49
49,"President Trump claims Saudi Arabia agreed to increase oil production:
https://t.co/h6PaCUR4ZO https://t.co/JZjcAWfsGB",Sat Jun 30 15:20:18 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.5267}",0.306,0.0,0.694,0.5267,50
50,"He lost his right leg to an IED in Iraq. Then, wheelchair basketball made him feel like an American warrior again.… https://t.co/FGIseYRcGz",Sat Jun 30 15:00:42 +0000 2018,@CBSNews,"{'neg': 0.093, 'neu': 0.806, 'pos': 0.101, 'compound': 0.0516}",0.101,0.093,0.806,0.0516,51
51,"A Hello Kitty-themed ""shinkansen"" bullet train has debuted in Japan: https://t.co/8CXC0EGH13 https://t.co/O4dx9lbqCS",Sat Jun 30 14:39:49 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,52
52,"The NSA is deleting more than 685 million call records the government obtained since 2015, and it's raising questio… https://t.co/ToNW6AWbMy",Sat Jun 30 14:19:33 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,53
53,"Quietly clutching candles or hoisting #AnnapolisStrong signs, more than 1,000 people streamed through Maryland's ca… https://t.co/DXDzuvx2Uk",Sat Jun 30 14:00:02 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,54
54,Two American testing labs are under scrutiny due to faulty cancer tests overseas. Hundreds of women received a clea… https://t.co/6IbZ9ckCfI,Sat Jun 30 13:40:01 +0000 2018,@CBSNews,"{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.7717}",0.0,0.283,0.717,-0.7717,55
55,"Liberal activists, parents and first-time protesters motivated by accounts of children separated from their parents… https://t.co/0YHI34fxJ0",Sat Jun 30 13:20:42 +0000 2018,@CBSNews,"{'neg': 0.101, 'neu': 0.741, 'pos': 0.159, 'compound': 0.2732}",0.159,0.101,0.741,0.2732,56
56,Cold case church murder suspect kills self as police serve warrant https://t.co/udX0Ozw8x0 https://t.co/EnafJVpt4p,Sat Jun 30 13:03:05 +0000 2018,@CBSNews,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.886}",0.0,0.51,0.49,-0.886,57
57,Video captures officers using stun gun on sitting man https://t.co/fPQeOsJcbG https://t.co/9nUivzKvHa,Sat Jun 30 12:48:03 +0000 2018,@CBSNews,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0,0.194,0.806,-0.34,58
58,"Drake reveals he has a son in newest album ""Scorpion"" https://t.co/wX1gYsHETL https://t.co/16okV6AMAb",Sat Jun 30 12:33:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,59
59,"Obama to Democrats: ""Do not wait for the perfect message"" or ""tingle in your spine"" to vote https://t.co/PMAXTsi04q https://t.co/VcqM5Epm5I",Sat Jun 30 12:18:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5719}",0.171,0.0,0.829,0.5719,60
60,Big U.S. pork producers accused of price-fixing https://t.co/EkkWowAJYx https://t.co/JLSxk0YwJe,Sat Jun 30 12:03:04 +0000 2018,@CBSNews,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}",0.0,0.216,0.784,-0.296,61
61,CDC retracts widely cited study on farmer suicide rates https://t.co/iFkQsA0KTn https://t.co/2RVxMaKUgO,Sat Jun 30 11:48:04 +0000 2018,@CBSNews,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.6705}",0.0,0.31,0.69,-0.6705,62
62,"RT @CBSThisMorning: Over the next 5 days, two-thirds of the country will be dealing with temperatures 10 to 20 degrees above averages. Peop…",Sat Jun 30 11:38:19 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,63
63,CDC warns of shingles vaccine shortage https://t.co/kM4L24F3sZ https://t.co/yB6FRHLrqA,Sat Jun 30 11:33:04 +0000 2018,@CBSNews,"{'neg': 0.362, 'neu': 0.638, 'pos': 0.0, 'compound': -0.34}",0.0,0.362,0.638,-0.34,64
64,"Supreme Court could limit, but not eliminate, abortion rights https://t.co/krJh7liVNc https://t.co/Md6xINnZXv",Sat Jun 30 11:18:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}",0.187,0.0,0.813,0.3182,65
65,Where the gender pay gap may start: At home https://t.co/DwYnn6TDvr https://t.co/B8neb1tpoy,Sat Jun 30 11:03:04 +0000 2018,@CBSNews,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.1027}",0.0,0.123,0.877,-0.1027,66
66,Fed says no to Goldman and Morgan Stanley dividend hikes https://t.co/th7q5C6lD1 https://t.co/rgUD3VJfvE,Sat Jun 30 10:48:04 +0000 2018,@CBSNews,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",0.0,0.167,0.833,-0.296,67
67,"Comcast outage affecting business, residential customers https://t.co/2dCgqz0Zbp https://t.co/uSm7JRRhs5",Sat Jun 30 10:33:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,68
68,Dangerous heat wave hitting U.S. over Fourth of July weekend https://t.co/hfew50pO7H https://t.co/g4bFN5NElg,Sat Jun 30 10:18:04 +0000 2018,@CBSNews,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}",0.0,0.22,0.78,-0.4767,69
69,"Larry Nassar, former trainer charged in connection to Karolyi Ranch investigation https://t.co/176bI9faDw https://t.co/h1NcptA4ek",Sat Jun 30 10:03:05 +0000 2018,@CBSNews,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2023}",0.0,0.13,0.87,-0.2023,70
70,Trump plans to announce Supreme Court pick July 9 https://t.co/2jepViI83U https://t.co/Kf79BOOhrV,Sat Jun 30 09:48:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5574}",0.286,0.0,0.714,0.5574,71
71,Alabama Attorney General Steve Marshall recalls final call with wife before her suicide https://t.co/zKRhZlye41 https://t.co/1vGs6DEP4V,Sat Jun 30 09:33:04 +0000 2018,@CBSNews,"{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.6705}",0.0,0.243,0.757,-0.6705,72
72,"Fourth of July is not just a celebration, but an assignment https://t.co/xBcUNZsAIZ https://t.co/WDV0B60WIl",Sat Jun 30 09:18:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,73
73,State Dept trafficking report includes ill effects of family separation https://t.co/JZWDyxy8ET https://t.co/dAK2WeM1GN,Sat Jun 30 09:03:06 +0000 2018,@CBSNews,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}",0.0,0.203,0.797,-0.4215,74
74,Ex-employee sheds light on life inside facilities for immigrant children separated from parents… https://t.co/BqbQAH09y1,Sat Jun 30 08:48:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,75
75,Ex-ICE chief counsel sentenced for stealing undocumented immigrants' identities https://t.co/jg1hZw95Nr https://t.co/JDBT90vmNz,Sat Jun 30 08:33:03 +0000 2018,@CBSNews,"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.5859}",0.0,0.348,0.652,-0.5859,76
76,Police probe whether campsite death is linked to a string of unsolved shootings https://t.co/ay06CRw24h https://t.co/RTMvhKiKkd,Sat Jun 30 08:18:02 +0000 2018,@CBSNews,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}",0.0,0.231,0.769,-0.5994,77
77,"President Trump's top economic adviser says the deficit is ""coming down,"" but the government disagrees… https://t.co/rlkNVyUj6e",Sat Jun 30 08:03:03 +0000 2018,@CBSNews,"{'neg': 0.107, 'neu': 0.812, 'pos': 0.081, 'compound': -0.1154}",0.081,0.107,0.812,-0.1154,78
78,"""Speechless"": Capital Gazette opinion page left blank after deadly shooting https://t.co/hPOOpMcW9G https://t.co/aVDUwrvY1P",Sat Jun 30 07:48:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,79
79,Video captures officers using stun gun on sitting man https://t.co/IVoH6YjYuE https://t.co/B7j5sc3xfi,Sat Jun 30 07:33:03 +0000 2018,@CBSNews,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",0.0,0.194,0.806,-0.34,80
80,"Jahi McMath, girl at center of debate over brain death, dies, mother says https://t.co/8KgSF4sSgF https://t.co/KAvIk9mOoo",Sat Jun 30 07:18:04 +0000 2018,@CBSNews,"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}",0.0,0.218,0.782,-0.5994,81
81,Susan Sarandon arrested at anti-Trump rally https://t.co/wRiuQ04QAi https://t.co/k9tH1UTSL4,Sat Jun 30 07:03:04 +0000 2018,@CBSNews,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}",0.0,0.307,0.693,-0.4767,82
82,Annapolis shooting: Prosecutor says suspect barricaded back door at newspaper offices https://t.co/BgIMjFgHAd https://t.co/9tyamcng3d,Sat Jun 30 06:48:03 +0000 2018,@CBSNews,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",0.0,0.155,0.845,-0.296,83
83,"Alexandria Ocasio-Cortez explains democratic socialism on the ""Late Show"" https://t.co/4meO6EjcbJ https://t.co/ObjyMg3ZrC",Sat Jun 30 06:33:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,84
84,"Sen. Jeff Merkley suggests Supreme Court nominee could ""lock in an anti-American majority"" https://t.co/SZu7rJupPV https://t.co/T9L71oHgLR",Sat Jun 30 06:18:03 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.5574}",0.205,0.0,0.795,0.5574,85
85,Alabama woman has 50-pound cyst removed from her ovary https://t.co/FS6hW9okjx https://t.co/wDF04v4RyN,Sat Jun 30 06:03:06 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,86
86,Some questions in Trump-Russia dossier now finding answers https://t.co/g0bIUlUKL4 https://t.co/pxWbS7ztNf,Sat Jun 30 05:48:04 +0000 2018,@CBSNews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,87
87,Spring Fire in Colorado prompts thousands of evacuations https://t.co/9tZrxKvQlC https://t.co/1d3OgiGNHU,Sat Jun 30 05:33:11 +0000 2018,@CBSNews,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",0.0,0.211,0.789,-0.34,88
