,text,created_at,news_org,sentiment,positive,negative,neutral,compound,tweets_ago
21,"""It's been 50 days since I heard of my son""

Mother describes her ordeal in a Texas migrant detention centre… https://t.co/QAia7M2ggQ",Sat Jun 30 10:57:07 +0000 2018,@BBCWorld,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.3612}",0.0,0.122,0.878,-0.3612,22
22,'Mansplaining' advert for University of Adelaide draws criticism https://t.co/IUgOBqkmEP,Sat Jun 30 10:29:27 +0000 2018,@BBCWorld,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}",0.0,0.266,0.734,-0.4404,23
23,First confirmed sighting of a great white shark off Majorca in 40 years https://t.co/bCvlESfylp,Sat Jun 30 09:09:00 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.6249}",0.255,0.0,0.745,0.6249,24
24,Thailand united in prayer as rescuers continue desperate search for 12 teenagers and their football coach trapped i… https://t.co/CuUASfV1Wh,Sat Jun 30 08:58:58 +0000 2018,@BBCWorld,"{'neg': 0.233, 'neu': 0.653, 'pos': 0.114, 'compound': -0.4404}",0.114,0.233,0.653,-0.4404,25
25,Donald Trump gets prank call on Air Force One https://t.co/oIspu5deoe,Sat Jun 30 07:04:25 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,26
26,US ambassador to Estonia resigns 'over Trump comments' https://t.co/CwgE9vikJI,Sat Jun 30 03:51:41 +0000 2018,@BBCWorld,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",0.0,0.223,0.777,-0.3182,27
27,Bringing Gay Pride to Africa's last absolute monarchy https://t.co/sAgBRBfNNT,Sat Jun 30 00:41:57 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.231,0.0,0.769,0.34,28
28,Trump to name nominee for Supreme Court on 9 July https://t.co/SBNSb7I9PP,Sat Jun 30 00:05:56 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5574}",0.286,0.0,0.714,0.5574,29
29,Little hope ahead of polls in Mexico's Sinaloa state https://t.co/wZXI3u97zP,Fri Jun 29 23:58:03 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.3832}",0.225,0.0,0.775,0.3832,30
30,"Thai cave rescue: Drones, dogs, drilling and desperation https://t.co/JIDwWzZCnS",Fri Jun 29 23:55:36 +0000 2018,@BBCWorld,"{'neg': 0.226, 'neu': 0.526, 'pos': 0.248, 'compound': 0.0772}",0.248,0.226,0.526,0.0772,31
